object_layer,startTime,neigborhoodSize,epsilon,minPts,similarity[%],AVGclusterheight,endTime
object_8_layer_18.png,1824933604767,10,1.0,3,0.06510416666666667,2.9165507649513214,1824996092791
object_8_layer_19.png,1824996315974,10,1.0,3,0.2170138888888889,2.9180555555555556,1825017973564
object_8_layer_20.png,1825020451270,10,1.0,3,0.2387152777777778,2.926490984743412,1825028648432
object_8_layer_1.png,1826148871920,10,1.0,3,0.3038194444444444,2.9284731774415405,1826187984657
object_8_layer_2.png,1826190777805,10,1.0,3,0.4665798611111111,2.936111111111111,1826210621486
object_8_layer_3.png,1826210845075,10,1.0,3,0.7486979166666666,2.921810699588477,1826232927051
object_8_layer_4.png,1826233159111,10,1.0,3,0.5750868055555556,2.9252717391304346,1826279364839
object_8_layer_5.png,1826279599094,10,1.0,3,0.9223090277777778,2.9445945945945944,1826315937143
object_8_layer_6.png,1826316160629,10,1.0,3,0.5859375,2.940700808625337,1826339426514
object_8_layer_7.png,1826339653946,10,1.0,3,0.6727430555555556,2.94421768707483,1826347658262
object_8_layer_8.png,1826347870290,10,1.0,3,0.7269965277777778,2.9525101763907733,1826375352602
object_8_layer_9.png,1826375417872,10,1.0,3,0.8680555555555556,2.962913907284768,1826384648802
object_8_layer_10.png,1826384872427,10,1.0,3,1.4756944444444444,2.970310391363023,1826434762738
object_8_layer_11.png,1826435003731,10,1.0,3,1.2478298611111112,2.98,1826450979360
object_8_layer_12.png,1826451205128,10,1.0,3,0.7921006944444444,2.9986486486486488,1826480584084
object_8_layer_13.png,1826480627383,10,1.0,3,0.7378472222222222,3.0,1826489471474
object_8_layer_14.png,1826489699032,10,1.0,3,0.7161458333333334,2.9796747967479673,1826548804042
object_8_layer_15.png,1826549047138,10,1.0,3,1.26953125,3.0092226613965742,1826554211809
object_8_layer_16.png,1826554421397,10,1.0,3,0.7269965277777778,3.0228494623655915,1826561515115
object_8_layer_17.png,1826561789261,10,1.0,3,0.5642361111111112,3.024193548387097,1826574104527
object_8_layer_18.png,1826592633754,10,1.0,3,0.48828125,3.024258760107817,1826600844838
object_8_layer_19.png,1826601080198,10,1.0,3,0.7161458333333334,3.017543859649123,1826618361011
object_8_layer_20.png,1826618621026,10,1.0,3,0.9548611111111112,3.029333333333333,1826658016249
object_8_layer_1.png,1827659180043,10,1.0,3,0.8572048611111112,3.03595206391478,1827742355628
object_8_layer_2.png,1827742651812,10,1.0,3,1.07421875,3.032388663967611,1827766661376
object_8_layer_3.png,1827766959990,10,1.0,3,1.6276041666666667,3.034620505992011,1827796508302
object_8_layer_4.png,1827796759700,10,1.0,3,1.2912326388888888,3.049608355091384,1827824100277
object_8_layer_5.png,1827824342350,10,1.0,3,2.365451388888889,3.077124183006536,1827849951683
object_8_layer_6.png,1827850207615,10,1.0,3,1.9748263888888888,3.113256113256113,1827885187947
object_8_layer_7.png,1827885416621,10,1.0,3,1.4973958333333333,3.0986666666666665,1827910460745
object_8_layer_8.png,1827910935880,10,1.0,3,1.66015625,3.129973474801061,1827943518789
object_8_layer_9.png,1827943898967,10,1.0,3,1.6710069444444444,3.145478374836173,1827966069211
object_8_layer_10.png,1827966453632,10,1.0,3,2.5933159722222223,3.1456953642384105,1827992805708
object_8_layer_11.png,1827992942890,10,1.0,3,2.3980034722222223,3.1857142857142855,1828000179058
object_8_layer_12.png,1828000384030,10,1.0,3,1.8012152777777777,3.1845549738219896,1828023292531
object_8_layer_13.png,1828023530811,10,1.0,3,1.7252604166666667,3.2346002621231977,1828040548688
object_8_layer_14.png,1828040849534,10,1.0,3,1.7469618055555556,3.1626984126984126,1828068114728
object_8_layer_15.png,1828068367758,10,1.0,3,2.4088541666666665,3.190168175937904,1828108047903
object_8_layer_16.png,1828108299762,10,1.0,3,1.7252604166666667,3.2156084656084656,1828147827426
object_8_layer_17.png,1828148060326,10,1.0,3,1.3671875,3.2277486910994764,1828188768785
object_8_layer_18.png,1828189041697,10,1.0,3,1.1501736111111112,3.2394179894179893,1828212179021
object_8_layer_19.png,1828212222935,10,1.0,3,1.5625,3.2276964047936083,1828226976105
object_8_layer_20.png,1828227206766,10,1.0,3,1.9965277777777777,3.256476683937824,1828249289552
object_8_layer_1.png,1829435078557,10,1.0,3,1.8229166666666667,3.231070496083551,1829518988518
